"Index","obs","Ncasos","Ncasos.low","Ncasos.up","NI","NI.low","NI.up","data"
2006-04-30,0,0.353432134067744,0.0699478651276069,0.942868172498244,33.52225,6,95.0248725926476,2006-04-30
2006-05-07,0,0.275487536766254,0.0470637806156387,0.801119960012042,26.0905,4,79.0248470014666,2006-05-07
2006-05-14,0,0.225958723637219,0.0352198923367778,0.678667417681775,21.405,3,67,2006-05-14
2006-05-21,0,0.194909770094603,0.0274903487276986,0.583092410272525,18.4215,2,61,2006-05-21
2006-05-28,0,0.176785908500335,0.0231475373423628,0.538376114383581,16.7245,2,54,2006-05-28
2006-06-04,0,0.165366499901929,0.0215577047817746,0.504057843208128,15.6095,2,50,2006-06-04
2006-06-11,0,0.160344820970228,0.0208899273903629,0.502481046648771,15.08225,2,49.0247545673038,2006-06-11
2006-06-18,0,0.162524892911522,0.0213754879303678,0.496947281131715,15.3615,2,51,2006-06-18
2006-06-25,0,0.169430196246884,0.0230202564349834,0.5181308494969,16.00275,2,54,2006-06-25
2006-07-02,0,0.182151935399563,0.0269093477741565,0.560129974319818,17.26325,2,56,2006-07-02
2006-07-09,0,0.206371686890072,0.0324003382583311,0.609831729455363,19.50275,3,61,2006-07-09
2006-07-16,0,0.24351211218262,0.0417351143774633,0.69995331068483,23.01825,4,70,2006-07-16
2006-07-23,1,0.302438990393474,0.0537374290753082,0.859436358332911,28.409,5,84,2006-07-23
2006-07-30,0,0.314017638392668,0.0577700053915316,0.876435696742832,29.49575,5,87,2006-07-30
2006-08-06,1,0.35180649940518,0.0674916243785577,0.962168606653095,33.07075,6,93,2006-08-06
2006-08-13,0,0.337708614067133,0.0651652716188638,0.894098577383999,31.7875,6,89.0248640663403,2006-08-13
2006-08-20,0,0.347839170373924,0.0702430005346119,0.911370369407691,32.6585,6,92,2006-08-20
2006-08-27,2,0.384836175657369,0.085183345745598,0.991039024175007,36.082,8,99.0495140279872,2006-08-27
2006-09-03,0,0.286244314659961,0.0550995378847657,0.773427615133148,26.999,5,78,2006-09-03
2006-09-10,0,0.228179690689148,0.0343902021723471,0.670342121306427,21.4795,3,65,2006-09-10
2006-09-17,0,0.191219080392744,0.024215477800171,0.584158039147715,17.97775,2,57,2006-09-17
2006-09-24,0,0.168185017463868,0.0202531361738186,0.513090355304561,15.828,2,51,2006-09-24
2006-10-01,0,0.150359756201262,0.0166267373942491,0.477889822501015,14.173,2,48,2006-10-01
2006-10-08,0,0.140644977277128,0.015949097504115,0.466409886173378,13.246,1,45,2006-10-08
2006-10-15,0,0.137179356161039,0.0146022375474749,0.457109222726253,12.93475,1,44,2006-10-15
2006-10-22,0,0.134323512142814,0.0140942938559973,0.433127352589083,12.60625,1,42,2006-10-22
2006-10-29,0,0.137257303525914,0.0157815319145512,0.438909275297839,12.91,1,43,2006-10-29
2006-11-05,0,0.140624602351502,0.0151194503884374,0.460741650635705,13.263,1,45,2006-11-05
2006-11-12,0,0.146711849872465,0.0179248220598096,0.452792849879434,13.7935,2,46,2006-11-12
2006-11-19,0,0.161099216938115,0.0225142517443583,0.484448764778701,15.20175,2,48,2006-11-19
2006-11-26,0,0.18388032654466,0.0268682804292023,0.553488769286871,17.311,2,54,2006-11-26
2006-12-03,0,0.219587752618221,0.0403713563660305,0.641189572074052,20.70975,3,65,2006-12-03
2006-12-10,0,0.272376284578622,0.0561774171404205,0.759340948844823,25.7325,5,77,2006-12-10
2006-12-17,0,0.349573948309782,0.0765901854996375,0.916584143955028,32.98075,7,93,2006-12-17
2006-12-24,2,0.487506133899548,0.118214885411596,1.26378493205654,45.82275,11,125,2006-12-24
2006-12-31,2,0.484390299990997,0.118820811385436,1.18667783456611,45.43375,11,125,2006-12-31
2007-01-07,0,0.342703312203008,0.0680264987813586,0.938572345182215,32.3325,6,93,2007-01-07
2007-01-14,0,0.264395428628204,0.0456271350492275,0.753430019472435,24.98575,4,76,2007-01-14
2007-01-21,0,0.211363537033861,0.0299963395312838,0.611210556865293,19.9755,3,63,2007-01-21
2007-01-28,0,0.175678340442459,0.0223859784271513,0.544827231219276,16.57125,2,54,2007-01-28
2007-02-04,0,0.154022003915789,0.0173508507896808,0.510961865168677,14.51625,2,50,2007-02-04
2007-02-11,0,0.134113561752732,0.0146802094965784,0.448667536567598,12.5715,1,43,2007-02-11
2007-02-18,0,0.123436227486757,0.0146816084862331,0.424310955385171,11.5695,1,40,2007-02-18
2007-02-25,0,0.116147568118139,0.012295920777587,0.39908535442968,10.9085,1,37,2007-02-25
