"Index","obs","Ncasos","Ncasos.low","Ncasos.up","data"
2009-12-01,0,0.999187365513072,0.300543805533521,2.22654315975928,2009-12-01
2010-01-01,3,1.35610772495656,0.516916766994445,2.84599344753017,2010-01-01
2010-02-01,0,0.907946203513273,0.197247970332488,2.1540182909432,2010-02-01
2010-03-01,1,0.831387106930813,0.185343327789881,1.96931328483988,2010-03-01
2010-04-01,1,0.717038116528109,0.158793322571733,1.82763365013164,2010-04-01
2010-05-01,0,0.517779651514604,0.13200390834279,1.3616044433944,2010-05-01
2010-06-01,0,0.445637781245889,0.12422799868345,1.16871047423807,2010-06-01
2010-07-01,0,0.441708228298622,0.126791861303963,1.19116023084769,2010-07-01
2010-08-01,1,0.499765531736002,0.134256208227179,1.26710457950607,2010-08-01
2010-09-01,0,0.415945182904706,0.120193278487664,1.13258897747101,2010-09-01
2010-10-01,0,0.377189489097079,0.115709772402551,1.04073770805064,2010-10-01
2010-11-01,0,0.349857256232939,0.112556947580868,0.948338876905133,2010-11-01
2010-12-01,0,0.340436041971551,0.111437229488263,0.90656421361535,2010-12-01
2011-01-01,0,0.343839554298535,0.114128401302614,0.919961961624041,2011-01-01
2011-02-01,1,0.36445774657751,0.114422323485085,0.99885803846731,2011-02-01
2011-03-01,0,0.175153752074251,0,0.745894369405156,2011-03-01
2011-04-01,0,0.0845695779031606,0,0.538658599227819,2011-04-01
2011-05-01,0,0.0415085884157994,0,0.406769368528906,2011-05-01
2011-06-01,0,0.0214722838047183,0,0.267187870017752,2011-06-01
2011-07-01,0,0.0111168141097651,0,0.16032790225476,2011-07-01
2011-08-01,0,0.00660039250216451,0,0.00210844561023672,2011-08-01
2011-09-01,0,0.00370839959324417,0,0,2011-09-01
2011-10-01,0,0.0022892326842449,0,0,2011-10-01
2011-11-01,0,0.0017612600365859,0,0,2011-11-01
